#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
2030-53499-0097 111340.60+361255.28 006 20.249 0.047 19.752 0.016 19.941 0.020 20.135 0.028 20.107 0.093 0.019 023.5 183.2 067.4 DA        011212 00331 6.691 0.171 -140   35 005 00376 00987 00911 0.204 0.028 010883 6.682 -329 -0.009 0.20195 0.01843
2030-53499-0119 111447.43+370536.74 007 20.203 0.043 19.521 0.022 19.219 0.026 19.129 0.022 19.079 0.041 0.014 129.4 180.8 067.3 DA        006428 00122 8.271 0.210   27   26 007 00021 00101 00093 0.754 0.131 006427 8.257   -1 -0.014 0.74353 0.09273
2030-53499-0635 111933.91+371610.12 006 19.948 0.036 19.570 0.025 19.797 0.026 20.060 0.031 20.381 0.115 0.016 024.2 179.5 068.2 DA        010843 00187 8.448 0.191   55   36 005 02740 00248 00230 0.873 0.117 010734 8.215 -109 -0.233 0.72094 0.08169
2031-53848-0493 125655.77+360401.11 007 20.194 0.043 19.798 0.025 20.083 0.027 20.330 0.041 20.368 0.141 0.011 035.0 115.8 081.0 DA+M      014969 00568 7.969 0.109  -38   37 006 00645 00535 00528 0.595 0.055 014969 7.969    0  0.000 0.59526 0.03900
2032-53815-0301 130950.06+371531.97 028 17.721 0.015 17.355 0.010 17.355 0.010 17.411 0.024 17.575 0.018 0.011 011.8 103.1 079.2 DA        009433 00023 8.262 0.037    0    0 000 00000 00000 00000 0.000 0.000 009373 7.995  -60 -0.267 0.59617 0.01413
2034-53466-0156 110948.75+344332.93 007 20.509 0.062 19.399 0.030 18.891 0.018 18.679 0.014 18.590 0.034 0.018 127.8 187.4 067.0 DA        005168 00092 7.407 0.308   78   51 007 01131 00095 00087 0.329 0.103 005167 7.408   -1  0.001 0.32891 0.07385
2035-53436-0222 114844.61+354155.31 017 18.834 0.023 18.255 0.017 18.008 0.013 17.898 0.014 17.923 0.024 0.015 038.4 176.4 074.1 DA        006403 00049 7.958 0.104    0    9 017 00253 00070 00067 0.568 0.052 006402 7.943   -1 -0.015 0.55956 0.03479
2035-53436-0512 115238.68+361042.69 010 19.480 0.028 18.978 0.029 18.797 0.018 18.793 0.027 18.831 0.042 0.019 100.0 173.3 074.6 DA        007306 00068 7.664 0.187   39   12 010 00023 00151 00145 0.443 0.078 007303 7.550   -3 -0.114 0.39360 0.05100
2036-53446-0134 113244.43+370545.06 008 19.483 0.038 19.334 0.014 19.695 0.021 20.029 0.033 20.205 0.134 0.020 029.7 177.0 070.6 DA        017294 00448 7.774 0.088   32   32 007 01094 00556 00525 0.522 0.027 017294 7.774    0  0.000 0.52235 0.01920
2036-53446-0202 113205.63+363414.71 029 17.462 0.011 17.101 0.035 17.070 0.016 17.173 0.022 17.317 0.020 0.022 131.7 178.6 070.7 DA        009015 00020 8.076 0.028    0    5 027 00260 00074 00070 0.640 0.016 008977 7.806  -38 -0.270 0.51363 0.00826
2036-53446-0244 113020.38+364614.15 006 19.755 0.034 19.499 0.023 19.657 0.020 19.921 0.028 20.154 0.108 0.023 047.7 178.5 070.3 DA        014446 01098 8.354 0.144   22   49 005 00108 00324 00305 0.818 0.090 014484 8.355   38  0.001 0.81831 0.06378
2036-53446-0293 112827.71+365735.90 008 19.223 0.039 19.303 0.021 19.746 0.023 20.046 0.035 20.948 0.285 0.019 026.5 178.5 069.9 DA        023905 01008 7.597 0.128  113   36 007 00123 00843 00792 0.483 0.037 023905 7.597    0  0.000 0.48304 0.02647
2036-53446-0357 112640.12+381200.90 017 18.671 0.026 18.297 0.014 18.297 0.014 18.382 0.016 18.594 0.034 0.017 005.6 175.7 069.1 DA        010057 00046 8.221 0.072    0    0 000 00000 00000 00000 0.000 0.000 009960 7.951  -97 -0.270 0.57415 0.02688
2036-53446-0436 112942.84+374745.13 018 18.492 0.034 18.158 0.033 18.365 0.017 18.612 0.019 18.891 0.048 0.022 033.0 175.9 069.8 DA        014453 00294 7.995 0.048   27   15 016 00210 00229 00215 0.608 0.025 014498 7.996   45  0.001 0.60853 0.01748
2036-53446-0625 114050.34+382432.83 012 19.152 0.032 18.744 0.017 18.758 0.015 18.913 0.017 19.096 0.049 0.019 045.2 171.1 071.4 DA        009743 00059 8.040 0.110  -17   17 011 00015 00184 00174 0.622 0.061 009659 7.774  -84 -0.266 0.50028 0.03010
2037-53446-0439 112011.94+374522.37 025 18.035 0.026 17.683 0.028 17.549 0.023 17.553 0.016 17.611 0.021 0.023 177.7 178.2 068.1 DA        007468 00029 7.646 0.067   33    4 025 00380 00089 00082 0.436 0.029 007465 7.512   -3 -0.134 0.38007 0.01732
2037-53446-0461 112105.80+375615.22 049 15.922 0.068 15.508 0.032 15.493 0.029 15.647 0.014 15.801 0.024 0.020 090.1 177.5 068.2 DA        009624 00012 8.330 0.014   22    2 048 00035 00033 00031 0.797 0.008 009553 8.066  -71 -0.264 0.63592 0.00554
2038-53327-0307 003641.61+242205.04 023 18.151 0.018 17.712 0.018 17.667 0.015 17.718 0.026 17.782 0.029 0.024 103.0 118.6 -38.4 DA        007687 00032 7.837 0.085   42    6 021 00567 00087 00054 0.522 0.035 007682 7.691   -5 -0.146 0.45607 0.02624
2038-53327-0380 003925.22+254823.73 034 16.824 0.021 17.117 0.018 17.505 0.015 17.549 0.012 17.371 0.023 0.034 017.4 119.5 -37.0 DA+M      037680 00236 7.835 0.035   35   14 000 00000 00000 00000 00000 00000 037680 7.83     0  00000 0.59800 0.01500
2041-53387-0227 011634.46+312852.61 047 16.278 0.022 16.381 0.015 16.736 0.015 17.040 0.018 17.368 0.024 0.062 026.0 129.2 -31.1 DA        024220 00117 7.977 0.016   15    5 044 01179 00166 00086 0.620 0.008 024220 7.977    0  0.000 0.61968 0.00535
2044-53327-0582 014332.83+241706.92 029 17.775 0.040 17.609 0.021 17.907 0.017 18.163 0.015 18.432 0.040 0.107 070.8 137.9 -37.1 DA        025303 00204 7.831 0.025   45    8 027 03898 00301 00181 0.554 0.011 025303 7.831    0  0.000 0.55364 0.00760
2049-53350-0095 033236.86-004936.94 053 15.299 0.021 15.632 0.017 16.049 0.024 16.404 0.010 16.757 0.022 0.111 038.9 185.6 -43.3 DA        034656 00110 7.781 0.019    9    7 051 00922 00189 00130 0.555 0.008 034656 7.781    0  0.000 0.55485 0.00534
2049-53350-0124 033200.48-005752.51 036 17.331 0.020 17.090 0.019 17.377 0.013 17.633 0.016 17.873 0.023 0.104 046.7 185.6 -43.5 DA        017881 00102 7.797 0.020   62    7 032 00000 00189 00130 0.524 0.005 017881 7.797    0  0.000 0.52419 0.00240
2050-53401-0287 033826.85-073155.30 036 16.662 0.017 16.363 0.019 16.638 0.015 16.888 0.014 17.128 0.026 0.042 124.9 194.5 -45.9 DA        015538 00075 8.061 0.017   95    6 032 00450 00106 00076 0.645 0.009 015538 8.061    0  0.000 0.64522 0.00647
2050-53401-0551 034439.55-061622.30 028 17.559 0.011 17.566 0.015 17.945 0.018 18.246 0.017 18.634 0.043 0.055 040.2 194.1 -43.9 DA        023824 00183 8.249 0.026  176   10 025 00068 00229 00159 0.771 0.016 023824 8.249    0  0.000 0.77115 0.01185
2050-53401-0565 034356.12-050758.72 033 16.477 0.023 16.889 0.029 17.315 0.017 17.677 0.017 17.948 0.030 0.048 016.8 192.6 -43.5 DA        048464 00646 7.791 0.053   37   20 031 01869 00420 00289 0.590 0.018 048464 7.791    0  0.000 0.59037 0.01285
2052-53401-0593 053659.13+002215.15 011 19.266 0.030 18.852 0.014 18.950 0.013 19.120 0.017 19.372 0.053 0.407 019.7 203.9 -16.3 DA        010730 00084 8.475 0.090   41   22 010 00051 00158 00044 0.890 0.056 010617 8.229 -113 -0.246 0.73079 0.03973
2055-53729-0496 074742.08+280945.89 039 17.853 0.017 17.447 0.019 17.664 0.013 17.900 0.016 18.140 0.026 0.030 023.2 192.3 023.9 DA        012093 00049 8.097 0.018   33    5 036 00777 00138 00056 0.659 0.010 012134 8.006   41 -0.091 0.60875 0.00677
2056-53463-0313 080137.37+053649.42 037 17.328 0.015 16.924 0.015 17.154 0.015 17.352 0.013 17.644 0.021 0.021 070.4 215.9 018.2 DA        012555 00067 8.215 0.023   74    6 033 00285 00103 00032 0.724 0.014 012639 8.139   84 -0.076 0.68365 0.00951
2056-53463-0557 080527.56+073534.16 024 19.161 0.027 17.897 0.010 17.333 0.012 17.124 0.010 17.085 0.017 0.029 388.8 214.5 019.9 DAH       005000 01000 6.946 0.500    0    0 000 00000 00000 00000 0.000 0.000 004999 6.947   -1  0.001 0.20528 0.06244
2058-53349-0087 004254.24+235831.30 007 21.009 0.082 20.415 0.026 20.466 0.034 20.670 0.046 20.662 0.156 0.037 040.0 120.4 -38.9 DAH:      011795 00254 8.030 0.158   15   40 006 01158 00507 00318 0.621 0.085 011795 7.930    0 -0.100 0.56802 0.05163
2058-53349-0103 004423.57+242329.33 015 19.471 0.037 19.555 0.025 19.960 0.022 20.237 0.032 20.517 0.130 0.037 012.8 120.9 -38.5 DA        027486 00420 7.415 0.066 -108   19 013 02660 01206 00751 0.441 0.021 027486 7.415    0  0.000 0.44096 0.01462
2058-53349-0105 004336.03+244225.90 013 20.106 0.044 19.737 0.025 19.992 0.025 20.223 0.031 20.463 0.127 0.029 032.0 120.7 -38.1 DA        016001 00270 7.829 0.057   75   21 011 01394 00583 00360 0.529 0.017 016001 7.829    0  0.000 0.52944 0.01350
2058-53349-0125 004054.80+235044.81 037 17.899 0.018 18.625 0.019 18.625 0.019 18.972 0.021 19.248 0.061 0.027 005.7 119.8 -39.0 DA        036978 00241 7.306 0.034    0    0 000 00000 00000 00000 0.000 0.000 036978 7.306    0  0.000 0.46412 0.00354
2058-53349-0137 004201.80+234645.92 007 20.951 0.090 20.361 0.027 20.108 0.025 19.993 0.031 19.827 0.095 0.026 068.0 120.2 -39.0 DA        006427 00117 7.878 0.249  105   22 007 00098 00192 00121 0.526 0.120 006426 7.860   -1 -0.018 0.52319 0.08449
2058-53349-0141 004317.53+242402.49 014 19.901 0.040 19.687 0.021 19.902 0.031 20.134 0.030 20.226 0.245 0.032 012.3 120.6 -38.4 DA        016098 00267 8.587 0.048  115   23 012 00513 00323 00201 0.963 0.027 016098 8.587    0  0.000 0.96345 0.02034
2058-53349-0145 004241.96+242843.98 018 19.662 0.036 19.418 0.022 19.610 0.020 19.835 0.027 20.101 0.117 0.027 018.9 120.4 -38.3 DA        018226 00236 7.790 0.044  -16   16 015 00000 00567 00352 0.524 0.013 018226 7.790    0  0.000 0.52387 0.00657
2058-53349-0149 004254.25+242602.20 011 20.563 0.062 20.001 0.027 19.892 0.026 19.920 0.031 20.058 0.085 0.029 059.3 120.5 -38.4 DA        007810 00069 7.875 0.184  -57   14 010 00083 00242 00150 0.529 0.086 007804 7.717   -6 -0.158 0.46723 0.05367
2058-53349-0188 004047.12+241941.41 010 20.201 0.051 19.989 0.022 20.290 0.027 20.473 0.046 20.566 0.141 0.029 023.1 119.8 -38.5 DA        020481 00490 8.113 0.075   94   31 009 03942 00669 00416 0.683 0.038 020481 8.113    0  0.000 0.68295 0.02674
2058-53349-0195 004038.90+243852.77 012 20.052 0.045 19.715 0.021 19.974 0.022 20.176 0.034 20.564 0.174 0.031 023.8 119.8 -38.2 DAH       014530 00295 7.826 0.069   26   23 010 00386 00528 00326 0.525 0.022 014530 7.826    0  0.000 0.52480 0.01675
2058-53349-0248 003906.51+240014.00 012 20.164 0.021 20.119 0.024 20.119 0.024 20.381 0.040 20.635 0.177 0.026 005.7 119.3 -38.8 DA        015414 00400 8.148 0.071    0    0 000 00000 00000 00000 0.000 0.000 015414 8.148    0  0.000 0.69394 0.02715
2058-53349-0254 003908.91+235726.11 012 20.296 0.056 19.808 0.021 19.715 0.020 19.712 0.026 19.693 0.081 0.025 058.7 119.3 -38.8 DA        007421 00064 7.646 0.166    5   12 011 00284 00234 00146 0.436 0.071 007418 7.517   -3 -0.129 0.38166 0.04424
2058-53349-0267 003756.55+242146.56 025 19.103 0.026 18.830 0.025 19.136 0.022 19.332 0.022 19.703 0.085 0.032 012.6 119.0 -38.4 DA        016095 00152 7.884 0.032    9   11 022 00051 00372 00231 0.555 0.015 016095 7.884    0  0.000 0.55525 0.01089
2058-53349-0307 003650.26+243150.62 007 20.512 0.064 20.424 0.025 20.767 0.041 21.013 0.083 21.261 0.302 0.027 015.4 118.7 -38.2 DA        020223 00706 8.051 0.108  -86   44 006 00739 00857 00530 0.649 0.056 020223 8.051    0  0.000 0.64915 0.03941
2058-53349-0309 003627.65+243506.81 009 20.556 0.068 20.197 0.022 20.126 0.026 20.219 0.038 20.437 0.153 0.027 047.3 118.6 -38.2 DA        008305 00089 7.930 0.217  -62   20 008 00231 00286 00176 0.558 0.106 008291 7.716  -14 -0.214 0.46871 0.06366
2058-53349-0338 003711.09+253944.60 012 19.955 0.038 19.931 0.023 19.931 0.023 20.107 0.036 20.419 0.136 0.033 005.2 118.9 -37.1 DA        011601 00121 8.018 0.073    0    0 000 00000 00000 00000 0.000 0.000 011572 7.905  -29 -0.113 0.55411 0.02423
2058-53349-0358 003636.02+251318.35 009 20.764 0.077 20.028 0.028 19.791 0.026 19.696 0.032 19.684 0.087 0.034 042.9 118.7 -37.5 DA        006146 00076 8.407 0.161   71   26 010 00392 00108 00066 0.841 0.104 006145 8.403   -1 -0.004 0.83816 0.07378
2058-53349-0436 003906.37+250601.35 008 20.540 0.079 20.307 0.026 20.594 0.036 20.744 0.052 21.368 0.948 0.033 015.9 119.4 -37.7 DA        016646 00479 7.764 0.100    2   37 007 00724 00814 00498 0.521 0.032 016646 7.764    0  0.000 0.52134 0.02333
2058-53349-0470 003958.46+250937.50 033 18.853 0.029 18.638 0.020 18.890 0.018 19.107 0.018 19.372 0.066 0.035 019.1 119.7 -37.6 DA        016621 00094 8.022 0.020   64    8 029 00531 00315 00192 0.627 0.010 016621 8.022    0  0.000 0.62657 0.00732
2058-53349-0472 004020.55+245433.19 023 19.671 0.037 19.207 0.017 19.290 0.020 19.454 0.022 19.560 0.065 0.031 086.5 119.7 -37.9 DA        010732 00042 8.303 0.043   43   10 020 00057 00220 00135 0.783 0.027 010624 8.062 -108 -0.241 0.63595 0.01703
2058-53349-0534 004346.36+254910.47 036 18.747 0.027 18.347 0.018 18.617 0.017 18.792 0.016 19.065 0.055 0.039 023.7 120.8 -37.0 DA        015453 00098 7.883 0.020   29    7 032 01160 00286 00172 0.553 0.010 015453 7.883    0  0.000 0.55308 0.00680
2058-53349-0539 004415.12+254235.63 050 18.093 0.023 17.743 0.016 17.983 0.017 18.246 0.023 18.473 0.030 0.037 037.5 120.9 -37.1 DA        015585 00056 7.869 0.013   -6    4 045 00564 00224 00135 0.547 0.006 015585 7.869    0  0.000 0.54662 0.00429
2058-53349-0558 004511.95+250330.95 020 19.344 0.030 19.139 0.012 19.342 0.016 19.559 0.020 19.907 0.091 0.034 052.1 121.1 -37.8 DA+M      014161 00236 9.016 0.034  144   16 018 00281 00160 00098 1.172 0.014 014178 9.006   17 -0.010 1.16827 0.01017
2058-53349-0576 004432.55+255537.52 022 19.556 0.018 19.308 0.026 19.308 0.026 19.555 0.025 19.786 0.077 0.035 007.3 121.0 -36.9 DA        013286 00140 8.324 0.038    0    0 000 00000 00000 00000 0.000 0.000 013380 8.295   94 -0.029 0.78207 0.01628
2058-53349-0591 004648.66+250915.12 034 18.521 0.020 18.294 0.022 18.555 0.017 18.797 0.018 19.002 0.044 0.039 029.8 121.6 -37.7 DA        016189 00102 7.942 0.022    7    7 031 00139 00279 00171 0.584 0.011 016189 7.942    0  0.000 0.58428 0.00756
2060-53706-0086 011739.82+242236.26 011 19.853 0.036 19.505 0.018 19.744 0.020 19.942 0.025 20.180 0.117 0.067 014.1 130.5 -38.1 DAH       012881 00634 7.198 0.131   61   24 009 00478 00615 00379 0.316 0.035 012963 7.199   82  0.001 0.31673 0.02468
2060-53706-0093 011759.69+250118.28 011 20.004 0.039 19.598 0.018 19.507 0.018 19.536 0.020 19.617 0.058 0.079 048.1 130.5 -37.5 DA        007561 00063 7.856 0.176    7   13 011 00458 00189 00115 0.524 0.080 007557 7.726   -4 -0.130 0.47008 0.05170
2060-53706-0094 011714.48+244021.49 011 19.906 0.046 19.620 0.041 19.814 0.037 20.084 0.041 20.075 0.097 0.060 015.2 130.4 -37.8 DA        017042 00362 8.247 0.072   25   27 010 01511 00408 00250 0.756 0.044 017042 8.247    0  0.000 0.75621 0.03126
2060-53706-0108 011726.50+251343.34 010 20.540 0.056 19.905 0.021 19.911 0.020 19.937 0.027 20.048 0.093 0.103 026.9 130.3 -37.3 DA        010535 00096 8.117 0.121   51   22 009 00467 00300 00181 0.667 0.069 010423 7.862 -112 -0.255 0.52981 0.03733
2060-53706-0132 011546.25+250619.67 015 19.957 0.039 19.366 0.022 19.134 0.014 19.060 0.019 19.032 0.047 0.084 061.9 129.9 -37.4 DA        006736 00055 7.215 0.183  -46    8 015 00015 00192 00116 0.281 0.048 006735 7.123   -1 -0.092 0.25897 0.03057
2060-53706-0175 011518.76+253834.69 012 20.094 0.445 19.931 1.956 19.931 1.956 20.087 2.552 20.472 0.668 0.087 000.0 129.7 -36.9 DA        019678 00436 7.802 0.069    0    0 000 00000 00000 00000 0.000 0.000 019678 7.802    0  0.000 0.52724 0.01520
2060-53706-0247 011357.42+244803.59 008 20.548 0.047 20.243 0.022 20.431 0.029 20.725 0.041 20.663 0.119 0.051 037.2 129.4 -37.8 DA        013503 00555 7.809 0.118   29   34 007 00224 00608 00372 0.523 0.044 013613 7.809  110 -0.000 0.52296 0.03138
2060-53706-0283 011308.96+245626.62 014 19.740 0.031 19.486 0.020 19.795 0.022 20.049 0.028 20.076 0.084 0.052 026.5 129.2 -37.7 DA        016894 00311 7.672 0.063   -2   20 012 00272 00589 00360 0.484 0.024 016894 7.672    0  0.000 0.48381 0.01669
2060-53706-0348 011114.58+261918.53 008 20.436 0.052 20.189 0.022 20.365 0.035 20.605 0.056 20.766 0.178 0.071 015.6 128.4 -36.3 DA        016770 00461 7.813 0.092   35   33 007 00726 00699 00413 0.525 0.031 016770 7.813    0  0.000 0.52484 0.02297
2060-53706-0426 011450.78+260751.17 040 18.056 0.020 18.139 0.019 18.139 0.019 18.392 0.019 18.644 0.030 0.080 004.6 129.5 -36.4 DA        019966 00110 7.929 0.019    0    0 000 00000 00000 00000 0.000 0.000 019966 7.929    0  0.000 0.58664 0.00632
2060-53706-0432 011505.33+261006.38 011 19.695 0.017 20.173 0.024 20.173 0.024 20.439 0.036 20.761 0.173 0.076 003.9 129.5 -36.4 DA        026252 00551 7.642 0.076    0    0 000 00000 00000 00000 0.000 0.000 026252 7.642    0  0.000 0.50880 0.01424
2060-53706-0497 011738.75+260726.59 006 21.172 0.073 20.659 0.029 20.561 0.036 20.730 0.042 20.757 0.148 0.076 033.9 130.2 -36.4 DA        009976 00123 8.384 0.179 -182   36 006 00257 00325 00193 0.831 0.114 009884 8.117  -92 -0.267 0.66580 0.07464
2060-53706-0542 011933.53+261610.45 019 19.377 0.016 19.502 0.018 19.502 0.018 19.733 0.023 20.011 0.077 0.074 010.5 130.7 -36.2 DA        019981 00214 8.047 0.036    0    0 000 00000 00000 00000 0.000 0.000 019981 8.047    0  0.000 0.64653 0.01312
2060-53706-0551 011950.34+260112.62 021 19.452 0.025 19.119 0.017 19.336 0.025 19.463 0.020 19.793 0.066 0.074 028.9 130.9 -36.4 DA        011875 00084 8.155 0.040   13   11 019 00324 00258 00153 0.692 0.022 011884 8.044    9 -0.111 0.62873 0.01539
2060-53706-0556 011950.48+255149.14 028 19.012 0.022 18.711 0.019 18.758 0.027 18.817 0.020 18.981 0.043 0.087 081.1 130.9 -36.6 DA        009795 00027 8.463 0.036   54    7 026 00234 00131 00078 0.882 0.023 009714 8.199  -81 -0.264 0.71238 0.01448
2060-53706-0569 011808.57+270308.17 030 18.830 0.018 18.681 0.015 18.681 0.015 18.906 0.021 19.248 0.049 0.058 001.8 130.2 -35.4 DA        016042 00105 8.060 0.022    0    0 000 00000 00000 00000 0.000 0.000 016042 8.060    0  0.000 0.64567 0.00835
2060-53706-0575 011910.00+263519.73 020 19.603 0.030 19.098 0.016 19.064 0.021 19.123 0.021 19.204 0.045 0.077 064.5 130.6 -35.9 DA        008085 00034 7.665 0.083   40    7 019 00267 00193 00113 0.447 0.036 008075 7.466  -10 -0.199 0.36716 0.02011
2061-53711-0089 012142.27+304549.87 020 19.354 0.036 18.606 0.018 18.260 0.018 18.145 0.016 18.102 0.031 0.045 134.7 130.6 -31.7 DA        005939 00043 7.376 0.109   20    7 020 00469 00097 00051 0.326 0.036 005938 7.369   -1 -0.007 0.32432 0.02518
2061-53711-0121 011924.39+302650.46 025 18.125 0.024 18.411 0.015 18.411 0.015 18.717 0.025 18.961 0.054 0.049 009.7 130.0 -32.0 DA        021859 00188 7.852 0.027    0    0 000 00000 00000 00000 0.000 0.000 021859 7.852    0  0.000 0.55464 0.00859
2061-53711-0195 011739.78+313055.73 012 20.004 0.017 19.694 0.022 19.694 0.022 19.890 0.027 20.054 0.083 0.077 009.3 129.5 -31.0 DA        014135 00492 7.961 0.074    0    0 000 00000 00000 00000 0.000 0.000 014201 7.962   66  0.001 0.58987 0.02636
2061-53711-0199 011721.34+311650.91 021 19.209 0.025 18.843 0.019 19.016 0.020 19.238 0.025 19.460 0.053 0.051 018.9 129.4 -31.3 DA        013583 00175 8.223 0.040   15   13 019 00127 00250 00130 0.732 0.026 013674 8.215   91 -0.008 0.72622 0.01771
2061-53711-0229 011637.07+312243.00 012 20.021 0.044 19.647 0.024 19.840 0.028 20.049 0.034 20.190 0.135 0.052 011.9 129.2 -31.2 DA        016023 00362 7.648 0.077   34   23 010 00000 00601 00311 0.471 0.040 016023 7.648    0  0.000 0.47147 0.01976
2061-53711-0232 011647.94+312845.73 017 19.428 0.022 19.249 0.024 19.249 0.024 19.438 0.024 19.639 0.083 0.061 002.9 129.2 -31.1 DA        012531 00143 8.722 0.049    0    0 000 00000 00000 00000 0.000 0.000 012545 8.588   14 -0.134 0.96134 0.02105
2061-53711-0265 011541.62+310404.20 036 17.785 0.016 17.902 0.017 18.309 0.017 18.597 0.019 18.930 0.045 0.055 019.7 129.0 -31.5 DA        027342 00151 7.888 0.023  -26    8 033 00321 00388 00203 0.584 0.010 027342 7.888    0  0.000 0.58414 0.00708
2061-53711-0339 011600.52+323153.93 011 19.772 0.034 19.717 0.024 19.955 0.023 20.171 0.034 20.251 0.103 0.058 023.7 128.9 -30.1 DA+M      009590 00065 8.296 0.099   97   19 010 01808 00236 00118 0.778 0.063 009521 8.032  -69 -0.264 0.61679 0.03868
2061-53711-0386 011642.70+314618.09 029 18.650 0.032 18.213 0.017 18.371 0.015 18.582 0.016 18.808 0.048 0.068 023.1 129.2 -30.8 DA        012195 00071 8.079 0.031   51    8 026 00159 00191 00098 0.649 0.017 012250 7.997   55 -0.082 0.60405 0.01162
2061-53711-0411 011800.56+323322.97 004 20.984 0.060 20.548 0.032 20.519 0.034 20.403 0.042 20.418 0.104 0.055 067.9 129.4 -30.0 DA        007839 00156 8.718 0.261  -61   36 005 00115 00169 00084 1.022 0.139 007834 8.573   -5 -0.145 0.94849 0.10648
2061-53711-0443 011933.94+323453.85 027 18.734 0.021 18.482 0.020 18.730 0.042 18.909 0.041 19.087 0.048 0.052 015.6 129.8 -29.9 DA        015683 00186 8.417 0.026   59   11 024 00236 00212 00105 0.859 0.016 015683 8.417    0  0.000 0.85851 0.01155
2061-53711-0515 012157.51+315249.11 007 20.696 0.054 20.221 0.021 20.199 0.022 20.277 0.035 20.632 0.151 0.056 044.2 130.5 -30.5 DA        009227 00116 8.342 0.168   11   26 007 00215 00257 00130 0.804 0.105 009180 8.072  -47 -0.270 0.63847 0.06677
