element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cs,2,"=""3062.048""","=""0.002""","=""3062.048""","=""0.004""","=""130""","=""""",,"=""174538.7506""","=""177804.539""","=""5p5.(2P*<3/2>).6h""","=""2[7/2]""","=""3""","=""5p5.(2P*<3/2>).7i""","=""2[9/2]*""","=""4""",,"=""""","=""L12126""",
Cs,2,"=""3062.141""","=""0.002""","=""3062.141""","=""0.004""","=""150""","=""""",,"=""174538.8663""","=""177804.555""","=""5p5.(2P*<3/2>).6h""","=""2[7/2]""","=""4""","=""5p5.(2P*<3/2>).7i""","=""2[9/2]*""","=""5""",,"=""""","=""L12126""",
Th,2,"=""3062.7161""","=""0.0004""","=""3062.71593""","=""0.00017""","=""83""","=""""",,"=""8460.35308""","=""11725.42899""","=""6d3""","=""""","=""3/2""","=""5f.6d.(3D*).7s""","=""4D*""","=""1/2""",,"=""""","=""L9974""",
Th,1,"=""3062.9877""","=""0.0003""","=""3062.98788""","=""0.00003""","=""81*""","=""""",,"=""15166.900593""","=""18431.686609""","=""6d2.7s.7p""","=""5G*""","=""3""","=""5f.7s2.7p""","=""3G""","=""3""",,"=""""","=""L14361""",
Th,1,"=""3062.9877""","=""0.0003""","=""3062.9879""","=""0.0007""","=""81*""","=""""",,"=""36297.2958""","=""39562.0818""","=""""","=""""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L14361""",
Th,1,"=""3063.6981""","=""0.0010""","=""3063.69835""","=""0.00010""","=""1""","=""""",,"=""25877.50128""","=""29141.53019""","=""""","=""*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Ne,1,"=""3063.9710""","=""0.0005""","=""3063.9713""","=""0.0017""","=""21""","=""""",,"=""168378.7113""","=""171642.4494""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L9097""",
Th,1,"=""3064.1407""","=""0.0008""","=""3064.14059""","=""0.00006""","=""3""","=""""",,"=""22141.60454""","=""25405.16237""","=""""","=""*""","=""3""","=""5f.6d.7s.7p""","=""5H""","=""4""",,"=""""","=""L9974""",
Th,2,"=""3065.0782""","=""0.0005""","=""3065.07800""","=""0.00021""","=""57""","=""""",,"=""17727.24685""","=""20989.80656""","=""6d3""","=""2H""","=""11/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""9/2""",,"=""""","=""L9974""",
Th,1,"=""3065.8083""","=""0.0007""","=""3065.80839""","=""0.00006""","=""11""","=""""",,"=""13962.51989""","=""17224.302340""","=""6d3.(2D2).7s""","=""""","=""1""","=""6d2.7s.7p""","=""5F*""","=""2""",,"=""""","=""L9974""",
Ar,2,"=""3065.933""","=""0.003""","=""3065.932""","=""0.003""","=""15""","=""""",,"=""211732.3605""","=""214994.011""","=""3s2.3p4.(3P<1>).6g""","=""2[5]""","=""11/2""","=""3s2.3p4.(3P<1>).7h""","=""2[6]*""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3066.009""","=""0.004""","=""3066.009""","=""0.004""","=""17""","=""""",,"=""211732.4320""","=""214994.001""","=""3s2.3p4.(3P<1>).6g""","=""2[5]""","=""9/2""","=""3s2.3p4.(3P<1>).7h""","=""2[6]*""","=""11/2""",,"=""""","=""L11520""",
Kr,1,"=""3067.3""","=""1.0""","=""3067.191+""","=""0.009""","=""""","=""""",,"=""99626.882""","=""102887.1936""","=""4s2.4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""""","=""L4227""",
Ne,1,"=""3067.5320""","=""0.0004""","=""3067.5326""","=""0.0010""","=""23""","=""3.71e+05""",C+,"=""163707.7261""","=""166967.6752""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L9097""",
Cs,2,"=""3067.747""","=""0.002""","=""3067.743""","=""0.005""","=""600*""","=""""",,"=""174548.3147""","=""177808.040""","=""5p5.(2P*<3/2>).6h""","=""2[13/2]""","=""6""","=""5p5.(2P*<3/2>).7i""","=""2[15/2]*""","=""7,8""",,"=""""","=""L12126""",
Cs,2,"=""3067.747""","=""0.002""","=""3067.750""","=""0.006""","=""600*""","=""""",,"=""174548.322""","=""177808.040""","=""5p5.(2P*<3/2>).6h""","=""2[13/2]""","=""7""","=""5p5.(2P*<3/2>).7i""","=""2[15/2]*""","=""7,8""",,"=""""","=""L12126""",
Th,1,"=""3069.2846""","=""0.0005""","=""3069.28436""","=""0.00005""","=""49""","=""""",,"=""13088.56115""","=""16346.64962""","=""6d3.(2G).7s""","=""3G""","=""3""","=""5f.6d2.7s""","=""5H*""","=""4""",,"=""""","=""L9974""",
Ba,1,"=""3069.369""","=""0.010""","=""3069.370+""","=""0.013""","=""8""","=""7.e+05""",,"=""20934.035""","=""24192.033""","=""5d2""","=""3F""","=""2""","=""5d.6p""","=""3D*""","=""1""",,"=""T5037""","=""L9224""",
Fe,2,"=""3069.638""","=""0.002""","=""3069.6372""","=""0.0008""","=""0.14""","=""""",,"=""104569.226""","=""107826.940""","=""3d6.(3P2).4d""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3070.017""","=""0.002""","=""3070.0179""","=""0.0004""","=""0.19""","=""""",,"=""104873.232""","=""108130.542""","=""3d6.(5D).5d""","=""4D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""""","=""L18349c139""",
Ar,2,"=""3070.417""","=""0.004""","=""3070.417""","=""0.005""","=""13""","=""""",,"=""212197.9340""","=""215454.821""","=""3s2.3p4.(3P<0>).6g""","=""2[4]""","=""9/2""","=""3s2.3p4.(3P<0>).7h""","=""2[5]*""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""3070.576""","=""0.005""","=""3070.576""","=""0.006""","=""12""","=""""",,"=""212198.0935""","=""215454.811""","=""3s2.3p4.(3P<0>).6g""","=""2[4]""","=""7/2""","=""3s2.3p4.(3P<0>).7h""","=""2[5]*""","=""9/2""",,"=""""","=""L11520""",
Th,1,"=""3071.1911""","=""0.0008""","=""3071.18984""","=""0.00022""","=""5""","=""""",,"=""28673.43441""","=""31929.50145""","=""""","=""*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Ti,1,"=""3071.817""","=""0.011""","=""3071.813""","=""0.005""","=""3""","=""""",,"=""18825.782""","=""22081.189""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1D*""","=""2""",,"=""""","=""L10989""",
Ne,1,"=""3072.0023""","=""0.0003""","=""3072.0029""","=""0.0010""","=""53""","=""1.05e+05""",C+,"=""163401.3061""","=""166656.5114""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Th,3,"=""3072.5434""","=""0.0006""","=""3072.5433""","=""0.0003""","=""19""","=""""",,"=""9953.58098""","=""13208.2137""","=""6d.7s""","=""3D""","=""3""","=""5f.6d""","=""3P*""","=""2""",,"=""""","=""L9974""",
Ar,2,"=""3072.677""","=""0.008""","=""3072.677""","=""0.009""","=""8""","=""""",,"=""210630.117""","=""213884.608""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""5/2""","=""3s2.3p4.(3P<2>).7h""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""3072.725""","=""0.008""","=""3072.725""","=""0.009""","=""11""","=""""",,"=""210630.181""","=""213884.621""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""7/2""","=""3s2.3p4.(3P<2>).7h""","=""2[4]*""","=""9/2""",,"=""""","=""L11520""",
Th,1,"=""3073.5237""","=""0.0007""","=""3073.52348""","=""0.00004""","=""11""","=""""",,"=""19948.395175""","=""23201.98997""","=""6d2.7s.7p""","=""5F*""","=""4""","=""5f.6d.7s.7p""","=""5G""","=""3""",,"=""""","=""L9974""",
Ar,2,"=""3073.6348""","=""0.0006""","=""3073.6323""","=""0.0006""","=""15""","=""""",,"=""200880.5857""","=""204134.0653""","=""3s2.3p4.(3P).5d""","=""4F""","=""7/2""","=""3s2.3p4.(1D).5p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Th,1,"=""3073.9649""","=""0.0008""","=""3073.96757""","=""0.00006""","=""7""","=""""",,"=""20737.28686""","=""23990.41162""","=""""","=""*""","=""1""","=""5f.6d.7s.7p""","=""5F""","=""2""",,"=""""","=""L9974""",
Fe,1,"=""3074.096""","=""0.003""","=""3074.0940""","=""0.0013""","=""510*""","=""""",,"=""44677.006""","=""47929.997""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""3074.096""","=""0.003""","=""3074.098""","=""0.004""","=""510*""","=""""",,"=""54257.679""","=""57510.666""","=""3d7.(4F).5p""","=""5G*""","=""2""","=""3d7.(4F).6s""","=""5F""","=""3""",,"=""""","=""L11631""",
Th,2,"=""3074.8983""","=""0.0010""","=""3074.89810""","=""0.00022""","=""1""","=""""",,"=""16906.59928""","=""20158.73957""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""6d3""","=""2D2""","=""5/2""",,"=""""","=""L9974""",
Ar,2,"=""3075.757""","=""0.004""","=""3075.7569""","=""0.0016""","=""8*""","=""""",,"=""210636.7414""","=""213887.9736""","=""3s2.3p4.(3P<2>).6h""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<2>).7i""","=""2[5]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""3075.757""","=""0.004""","=""3075.7620""","=""0.0016""","=""8*""","=""""",,"=""210636.7387""","=""213887.9656""","=""3s2.3p4.(3P<2>).6h""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<2>).7i""","=""2[5]""","=""9/2""",,"=""""","=""L11520""",
Th,1,"=""3078.4669""","=""0.0009""","=""3078.46667""","=""0.00010""","=""3""","=""""",,"=""26508.02820""","=""29756.39860""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Ar,2,"=""3079.1751""","=""0.0004""","=""3079.172""","=""0.007""","=""132*""","=""""",,"=""210637.211""","=""213884.837""","=""3s2.3p4.(3P<2>).6h""","=""2[6]*""","=""11/2""","=""3s2.3p4.(3P<2>).7i""","=""2[7]""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3079.1751""","=""0.0004""","=""3079.1749""","=""0.0013""","=""132*""","=""""",,"=""210637.2198""","=""213884.8430""","=""3s2.3p4.(3P<2>).6h""","=""2[6]*""","=""13/2""","=""3s2.3p4.(3P<2>).7i""","=""2[7]""","=""15/2""",,"=""""","=""L11520""",
Ar,2,"=""3079.1751""","=""0.0004""","=""3079.181""","=""0.011""","=""132*""","=""""",,"=""210637.2198""","=""213884.837""","=""3s2.3p4.(3P<2>).6h""","=""2[6]*""","=""13/2""","=""3s2.3p4.(3P<2>).7i""","=""2[7]""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3079.1924""","=""0.0004""","=""3079.183""","=""0.006""","=""91*""","=""""",,"=""210636.7414""","=""213884.356""","=""3s2.3p4.(3P<2>).6h""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<2>).7i""","=""2[6]""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3079.1924""","=""0.0005""","=""3079.183""","=""0.007""","=""91*""","=""""",,"=""210636.7387""","=""213884.353""","=""3s2.3p4.(3P<2>).6h""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<2>).7i""","=""2[6]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""3079.1924""","=""0.0004""","=""3079.186""","=""0.009""","=""91*""","=""""",,"=""210636.7414""","=""213884.353""","=""3s2.3p4.(3P<2>).6h""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<2>).7i""","=""2[6]""","=""11/2""",,"=""""","=""L11520""",
Th,3,"=""3079.4294""","=""0.0006""","=""3079.4295""","=""0.0004""","=""19""","=""""",,"=""7875.8244""","=""11123.1791""","=""6d2""","=""3P""","=""1""","=""5f.6d""","=""3P*""","=""1""",,"=""""","=""L9974""",
Ar,2,"=""3079.444""","=""0.003""","=""3079.444""","=""0.003""","=""14""","=""""",,"=""210642.7273""","=""213890.067""","=""3s2.3p4.(3P<2>).6g""","=""2[6]""","=""11/2""","=""3s2.3p4.(3P<2>).7h""","=""2[7]*""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3079.652""","=""0.005""","=""3079.631""","=""0.011""","=""10*""","=""""",,"=""210637.211""","=""213884.353""","=""3s2.3p4.(3P<2>).6h""","=""2[6]*""","=""11/2""","=""3s2.3p4.(3P<2>).7i""","=""2[6]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""3079.652""","=""0.005""","=""3079.637""","=""0.006""","=""10*""","=""""",,"=""210637.2198""","=""213884.356""","=""3s2.3p4.(3P<2>).6h""","=""2[6]*""","=""13/2""","=""3s2.3p4.(3P<2>).7i""","=""2[6]""","=""13/2""",,"=""""","=""L11520""",
Th,1,"=""3079.9326""","=""0.0007""","=""3079.93209""","=""0.00008""","=""15""","=""""",,"=""24981.11021""","=""28227.93504""","=""""","=""*""","=""3""","=""5f.7s2.7p""","=""3F""","=""4""",,"=""""","=""L9974""",
Fe,2,"=""3080.2366""","=""0.0008""","=""3080.2355""","=""0.0008""","=""0.4""","=""""",,"=""103950.602""","=""107197.107""","=""3d6.(5D).5d""","=""6F""","=""9/2""","=""3d6.(5D).6p""","=""6P*""","=""7/2""",,"=""""","=""L18349c139""",
Xe,1,"=""3080.26""","=""""","=""3080.256+""","=""0.013""","=""500:""","=""8.63e+05""",B,"=""85440.017""","=""88686.500""","=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",,"=""T8608n,T6672""","=""L2228""",
Th,1,"=""3080.3151""","=""0.0006""","=""3080.31504""","=""0.00003""","=""19""","=""""",,"=""7280.123222""","=""10526.544406""","=""6d2.7s2""","=""""","=""2""","=""5f.6d.7s2""","=""3G*""","=""3""",,"=""""","=""L9974""",
Ar,2,"=""3080.8575""","=""0.0005""","=""3080.8575""","=""0.0017""","=""66*""","=""""",,"=""211751.9642""","=""214997.8138""","=""3s2.3p4.(3P<1>).6h""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<1>).7i""","=""2[5]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""3080.8575""","=""0.0005""","=""3080.8576""","=""0.0012""","=""66*""","=""""",,"=""211751.9752""","=""214997.8247""","=""3s2.3p4.(3P<1>).6h""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P<1>).7i""","=""2[5]""","=""11/2""",,"=""""","=""L11520""",
Fe,1,"=""3080.950""","=""0.003""","=""3080.9473""","=""0.0013""","=""720""","=""""",,"=""51619.076""","=""54864.831""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""3""","=""3d6.4s.(6D).6s""","=""5D""","=""3""",,"=""""","=""L11631""",
Mg,2,"=""3081.238""","=""0.010""","=""3081.22""","=""0.10""","=""10*""","=""""",,"=""109062.32""","=""112307.79""","=""2p6.6f""","=""2F*""","=""5/2""","=""2p6.7g""","=""2G""","=""7/2""",,"=""""","=""L6692""",
Mg,2,"=""3081.238""","=""0.010""","=""3081.25""","=""0.10""","=""10*""","=""""",,"=""109062.35""","=""112307.79""","=""2p6.6f""","=""2F*""","=""7/2""","=""2p6.7g""","=""2G""","=""9/2""",,"=""""","=""L6692""",
Th,3,"=""3081.9914""","=""0.0006""","=""3081.99112""","=""0.00023""","=""25""","=""""",,"=""4676.43214""","=""7921.08782""","=""6d2""","=""""","=""2""","=""5f.6d""","=""3D*""","=""1""",,"=""""","=""L9974""",
Ar,2,"=""3082.7894""","=""0.0004""","=""3082.7894""","=""0.0010""","=""81*""","=""""",,"=""211754.9832""","=""214998.7987""","=""3s2.3p4.(3P<1>).6h""","=""2[6]*""","=""11/2""","=""3s2.3p4.(3P<1>).7i""","=""2[7]""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3082.7894""","=""0.0004""","=""3082.7894""","=""0.0009""","=""81*""","=""""",,"=""211754.9991""","=""214998.8146""","=""3s2.3p4.(3P<1>).6h""","=""2[6]*""","=""13/2""","=""3s2.3p4.(3P<1>).7i""","=""2[7]""","=""15/2""",,"=""""","=""L11520""",
Fe,1,"=""3083.269""","=""0.003""","=""3083.2661""","=""0.0013""","=""302""","=""""",,"=""45061.329""","=""48304.643""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""","=""3d7.(4P).4p""","=""x 3P*""","=""2""",,"=""""","=""L11631""",
Cs,2,"=""3083.567""","=""0.003""","=""3083.563""","=""0.004""","=""400*""","=""""",,"=""174576.2119""","=""177819.214""","=""5p5.(2P*<3/2>).6h""","=""2[9/2]""","=""4""","=""5p5.(2P*<3/2>).7i""","=""2[11/2]*""","=""5,6""",,"=""""","=""L12126""",
Cs,2,"=""3083.567""","=""0.003""","=""3083.572""","=""0.004""","=""400*""","=""""",,"=""174576.2221""","=""177819.214""","=""5p5.(2P*<3/2>).6h""","=""2[9/2]""","=""5""","=""5p5.(2P*<3/2>).7i""","=""2[11/2]*""","=""5,6""",,"=""""","=""L12126""",
Th,2,"=""3083.6385""","=""0.0006""","=""3083.63825""","=""0.00023""","=""21""","=""""",,"=""14484.32431""","=""17727.24685""","=""5f.6d.(3H*).7s""","=""2H*""","=""11/2""","=""6d3""","=""2H""","=""11/2""",,"=""""","=""L9974""",
Ar,2,"=""3083.917""","=""0.007""","=""3083.917""","=""0.008""","=""16*""","=""""",,"=""211761.469""","=""215004.098""","=""3s2.3p4.(3P<1>).6g""","=""2[4]""","=""9/2""","=""3s2.3p4.(3P<1>).7h""","=""2[5]*""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""3083.917""","=""0.007""","=""3083.917""","=""0.008""","=""16*""","=""""",,"=""211761.470""","=""215004.099""","=""3s2.3p4.(3P<1>).6g""","=""2[4]""","=""7/2""","=""3s2.3p4.(3P<1>).7h""","=""2[5]*""","=""9/2""",,"=""""","=""L11520""",
Th,1,"=""3084.4887""","=""0.0008""","=""3084.48836""","=""0.00008""","=""5""","=""""",,"=""22163.13360""","=""25405.16237""","=""""","=""*""","=""4""","=""5f.6d.7s.7p""","=""5H""","=""4""",,"=""""","=""L9974""",
Ar,2,"=""3085.3575""","=""0.0007""","=""3085.347""","=""0.010""","=""66*""","=""""",,"=""212217.4944""","=""215458.621""","=""3s2.3p4.(3P<0>).6h""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<0>).7i""","=""2[6]""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3085.3575""","=""0.0007""","=""3085.3574""","=""0.0010""","=""66*""","=""""",,"=""212217.5053""","=""215458.6209""","=""3s2.3p4.(3P<0>).6h""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<0>).7i""","=""2[6]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""3085.4690""","=""0.0005""","=""3085.4685""","=""0.0017""","=""60*""","=""""",,"=""210646.9667""","=""213887.9656""","=""3s2.3p4.(3P<2>).6h""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<2>).7i""","=""2[5]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""3085.4690""","=""0.0005""","=""3085.4690""","=""0.0020""","=""60*""","=""""",,"=""210646.9752""","=""213887.9736""","=""3s2.3p4.(3P<2>).6h""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P<2>).7i""","=""2[5]""","=""11/2""",,"=""""","=""L11520""",
Th,1,"=""3086.0099""","=""0.0006""","=""3086.00954""","=""0.00007""","=""23""","=""""",,"=""23015.15141""","=""26255.58209""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L9974""",
C,1,"=""3086.2059""","=""0.0003""","=""3086.20602""","=""0.00017""","=""27000""","=""1.75e+06""",B,"=""78529.64651""","=""81769.87089""","=""2s2.2p.3d""","=""1F*""","=""3""","=""2s2.2p.4p""","=""1D""","=""2""",,"=""T5520,T6070""","=""L12175c183""",
Xe,1,"=""3086.36""","=""""","=""3086.363+""","=""0.013""","=""15:""","=""""",,"=""89024.890""","=""92264.950""","=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""3""",,"=""""","=""L2228""",
Mg,2,"=""3089.259""","=""0.010""","=""3089.27""","=""0.10""","=""20""","=""""",,"=""109072.05""","=""112309.06""","=""2p6.6g""","=""2G""","=""9/2""","=""2p6.7h""","=""2H*""","=""11/2""",,"=""""","=""L6692""",
Ar,2,"=""3090.2464""","=""0.0006""","=""3090.2463""","=""0.0008""","=""81*""","=""""",,"=""210655.8353""","=""213891.8233""","=""3s2.3p4.(3P<2>).6h""","=""2[7]*""","=""15/2""","=""3s2.3p4.(3P<2>).7i""","=""2[8]""","=""17/2""",,"=""""","=""L11520""",
Ar,2,"=""3090.2464""","=""0.0006""","=""3090.2464""","=""0.0009""","=""81*""","=""""",,"=""210655.8214""","=""213891.8093""","=""3s2.3p4.(3P<2>).6h""","=""2[7]*""","=""13/2""","=""3s2.3p4.(3P<2>).7i""","=""2[8]""","=""15/2""",,"=""""","=""L11520""",
Cs,2,"=""3090.298""","=""0.002""","=""3090.294""","=""0.004""","=""480*""","=""""",,"=""174586.6373""","=""177822.575""","=""5p5.(2P*<3/2>).6h""","=""2[11/2]""","=""5""","=""5p5.(2P*<3/2>).7i""","=""2[13/2]*""","=""6,7""",,"=""""","=""L12126""",
Cs,2,"=""3090.298""","=""0.002""","=""3090.301""","=""0.004""","=""480*""","=""""",,"=""174586.6444""","=""177822.575""","=""5p5.(2P*<3/2>).6h""","=""2[11/2]""","=""6""","=""5p5.(2P*<3/2>).7i""","=""2[13/2]*""","=""6,7""",,"=""""","=""L12126""",
Ar,2,"=""3090.523""","=""0.011""","=""3090.522""","=""0.012""","=""8""","=""""",,"=""210658.7338""","=""213894.433""","=""3s2.3p4.(3P<2>).6g""","=""2[2]""","=""5/2""","=""3s2.3p4.(3P<2>).7h""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Mg,2,"=""3090.730""","=""0.010""","=""3090.73""","=""0.10""","=""50""","=""""",,"=""109073.97""","=""112309.45""","=""2p6.6h""","=""2H*""","=""11/2""","=""2p6.7i""","=""2I""","=""9/2 or 11/2 or 13/2""",,"=""""","=""L6692""",
Fe,1,"=""3091.352""","=""0.003""","=""3091.3526""","=""0.0013""","=""930""","=""""",,"=""51630.001""","=""54864.831""","=""3d6.(5D).4s (6D).5p""","=""t 5D*""","=""2""","=""3d6.4s.(6D).6s""","=""5D""","=""3""",,"=""""","=""L11631""",
Ar,2,"=""3091.5632""","=""0.0003""","=""3091.5632""","=""0.0003""","=""50""","=""""",,"=""200110.4236""","=""203345.0332""","=""3s2.3p4.(3P).6s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).6p""","=""2D*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""3092.1450""","=""0.0007""","=""3092.1450""","=""0.0011""","=""28*""","=""""",,"=""211770.9564""","=""215004.9574""","=""3s2.3p4.(3P<1>).6h""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<1>).7i""","=""2[6]""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3092.1450""","=""0.0007""","=""3092.1451""","=""0.0011""","=""28*""","=""""",,"=""211770.9679""","=""215004.9688""","=""3s2.3p4.(3P<1>).6h""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<1>).7i""","=""2[6]""","=""11/2""",,"=""""","=""L11520""",
Ne,1,"=""3092.8308""","=""0.0008""","=""3092.8319""","=""0.0014""","=""16""","=""""",,"=""167639.5697""","=""170872.8524""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L9097""",
Ba,1,"=""3094.003""","=""0.010""","=""3094.004+""","=""0.014""","=""402""","=""""",,"=""9033.966""","=""12266.024""","=""6s.5d""","=""3D""","=""1""","=""6s.6p""","=""3P*""","=""0""",,"=""""","=""L9224""",
Ar,2,"=""3094.734""","=""0.003""","=""3094.733""","=""0.004""","=""26*""","=""""",,"=""210662.6177""","=""213893.914""","=""3s2.3p4.(3P<2>).6h""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<2>).7i""","=""2[4]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""3094.734""","=""0.003""","=""3094.734""","=""0.004""","=""26*""","=""""",,"=""210662.605""","=""213893.900""","=""3s2.3p4.(3P<2>).6h""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<2>).7i""","=""2[4]""","=""7/2""",,"=""""","=""L11520""",
Cs,1,"=""3096.150""","=""0.003""","=""3096.148""","=""0.019""","=""8100""","=""""",,"=""18535.5286""","=""21765.348""","=""5p6.7s""","=""2S""","=""1/2""","=""5p6.7p""","=""2P*""","=""1/2""",,"=""""","=""L5791""",
Mg,2,"=""3096.53""","=""0.10""","=""3096.53""","=""0.10""","=""1""","=""""",,"=""109072.05""","=""112301.47""","=""2p6.6g""","=""2G""","=""9/2""","=""2p6.7f""","=""2F*""","=""7/2""",,"=""""","=""L6692""",
Fe,2,"=""3096.69""","=""0.02""","=""3096.6818""","=""0.0011""","=""0.05""","=""""",,"=""104507.058""","=""107736.321""","=""3d6.(3H).4d""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c139""",
Ar,2,"=""3096.913""","=""0.013""","=""3096.919""","=""0.008""","=""6*""","=""""",,"=""210655.8214""","=""213884.837""","=""3s2.3p4.(3P<2>).6h""","=""2[7]*""","=""13/2""","=""3s2.3p4.(3P<2>).7i""","=""2[7]""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3096.913""","=""0.013""","=""3096.9267""","=""0.0011""","=""6*""","=""""",,"=""210655.8353""","=""213884.8430""","=""3s2.3p4.(3P<2>).6h""","=""2[7]*""","=""15/2""","=""3s2.3p4.(3P<2>).7i""","=""2[7]""","=""15/2""",,"=""""","=""L11520""",
Ne,1,"=""3097.5572""","=""0.0013""","=""3097.5544""","=""0.0021""","=""7""","=""""",,"=""167639.5697""","=""170867.923""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Fe,1,"=""3098.339""","=""0.003""","=""3098.3388""","=""0.0014""","=""234""","=""""",,"=""40207.091""","=""43434.627""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,"=""""","=""L11631""",
C,1,"=""3098.5833""","=""0.0007""","=""3098.58314""","=""0.00012""","=""10000""","=""4.9e+05""",B,"=""78116.77336""","=""81344.05485""","=""2s2.2p.4s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""2""",,"=""T6070n""","=""L12175c183""",
