element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Kr,1,"=""3959.920""","=""0.010""","=""3959.99+""","=""0.22""","=""1100""","=""""",,"=""105988.81""","=""108514.07""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""",,"=""""","=""L234""",
Kr,1,"=""3960.038""","=""0.010""","=""3959.99+""","=""0.22""","=""1100""","=""""",,"=""105988.81""","=""108514.07""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""",,"=""""","=""L234""",
Ar,2,"=""3960.1415""","=""0.0008""","=""3960.1395""","=""0.0008""","=""17""","=""""",,"=""201608.9017""","=""204134.0653""","=""3s2.3p4.(3P).5d""","=""2F""","=""7/2""","=""3s2.3p4.(1D).5p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Cr,1,"=""3960.639""","=""0.008""","=""3960.6371""","=""0.0017""","=""10""","=""""",,"=""24277.0546""","=""26801.9009""","=""3d5.(4D).4s""","=""b 5D""","=""0""","=""3d5.(6S).4p""","=""z 5P*""","=""1""",,"=""""","=""L14866""",
Ar,2,"=""3961.3899""","=""0.0014""","=""3961.3904""","=""0.0014""","=""16""","=""""",,"=""206149.0242""","=""208673.3904""","=""3s2.3p4.(3P<1>).5f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P).6d""","=""4F""","=""5/2""",,"=""""","=""L11520""",
Cl,1,"=""3961.45""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Cl,1,"=""3962.61""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Fe,2,"=""3963.3344""","=""0.0009""","=""3963.3360""","=""0.0008""","=""0.22""","=""""",,"=""105205.808""","=""107728.935""","=""3d6.(5D).5d""","=""6G""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
Xe,1,"=""3963.51""","=""0.40""","=""3963.567+""","=""0.022""","=""2""","=""""",,"=""90032.155""","=""92555.135""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""",,"=""""","=""L1975""",
Ne,1,"=""3963.9886""","=""0.0004""","=""3963.9880""","=""0.0022""","=""240""","=""""",,"=""167794.9709""","=""170317.6829""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L9097""",
C,1,"=""3964.313""","=""0.004""","=""3964.3178""","=""0.0016""","=""1400""","=""4.7e+05""",D+,"=""83947.2231""","=""86469.7252""","=""2s2.2p.4d""","=""1F*""","=""3""","=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",,"=""T9787""","=""L12175c183""",
Ne,1,"=""3965.4346""","=""0.0004""","=""3965.4344""","=""0.0022""","=""350""","=""""",,"=""167795.8966""","=""170317.6884""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""","=""2s2.2p5.(2P*<1/2>).5f""","=""2[7/2]""","=""4""",,"=""""","=""L9097""",
Cu,1,"=""3966.593""","=""0.003""","=""3966.592""","=""0.003""","=""158000""","=""""",,"=""55391.297""","=""57912.353""","=""3d10.5d""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""7/2""",,"=""""","=""L18039""",
Ne,1,"=""3966.9971""","=""0.0004""","=""3966.9962""","=""0.0022""","=""280""","=""""",,"=""167796.9475""","=""170317.7465""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
Fe,2,"=""3969.434""","=""0.003""","=""3969.437""","=""0.003""","=""1.2""","=""""",,"=""73395.831""","=""75915.080""","=""3d5.4s2""","=""4F""","=""5/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3969.9524""","=""0.0005""","=""3969.9524""","=""0.0022""","=""75""","=""""",,"=""167011.5643""","=""169530.4862""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L9097""",
Fe,2,"=""3970.0463""","=""0.0016""","=""3970.0468""","=""0.0014""","=""0.05bl(Ne)""","=""""",,"=""105086.265""","=""107605.127""","=""3d6.(3F2).4d""","=""4P""","=""1/2""","=""3d6.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18349c148""",
Th,1,"=""3971.1529""","=""0.0013""","=""3971.15217""","=""0.00009""","=""5""","=""""",,"=""15493.21943""","=""18011.38030""","=""6d3.(2H).7s""","=""3H""","=""4""","=""5f.6d2.7s""","=""5H*""","=""5""",,"=""""","=""L9974""",
Cu,1,"=""3972.272""","=""0.003""","=""3972.274""","=""0.003""","=""103000""","=""""",,"=""55387.667""","=""57905.117""","=""3d10.5d""","=""2D""","=""3/2""","=""3d10.5f""","=""2F*""","=""5/2""",,"=""""","=""L18039""",
Cl,1,"=""3972.68""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Ar,2,"=""3973.0439""","=""0.0005""","=""3973.0442""","=""0.0005""","=""26""","=""""",,"=""187589.3383""","=""190106.3000""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
C,1,"=""3973.9962""","=""0.0006""","=""3973.99594""","=""0.00019""","=""5900""","=""2.20e+05""",B,"=""78318.26602""","=""80834.62491""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4p""","=""3D""","=""3""",,"=""T6070n""","=""L12175c183""",
